ward_id,ward_name,ward_lat,ward_lon,point_id,dist_to_grid_km,nearest_station_id,dist_to_station_km,road_km_3km,road_capacity_3km,industry_count_5km,vulnerable_sites_3km
CANT_1,DELHI CANTT CHARGE 1,28.61851,77.13227,15,2.19,6356,2.72,82.28,398.0,24.0,61.0
CANT_2,DELHI CANTT CHARGE 2,28.61456,77.14275,15,1.64,6356,2.81,82.28,398.0,24.0,61.0
CANT_4,DELHI CANTT CHARGE 4,28.55805,77.14307,15,4.67,5639,2.45,82.28,398.0,24.0,61.0
CANT_5,DELHI CANTT CHARGE 5,28.57388,77.13287,15,2.99,5650,1.91,82.28,398.0,24.0,61.0
CANT_6,DELHI CANTT CHARGE 6,28.56652,77.10191,15,5.26,15,1.06,82.28,398.0,24.0,61.0
CANT_7,DELHI CANTT CHARGE 7,28.6012,77.11678,15,2.27,6257818,1.13,82.28,398.0,24.0,61.0
CANT_8,DELHI CANTT CHARGE 8,28.60433,77.11989,15,2.02,6257818,1.24,82.28,398.0,24.0,61.0
CANT_3,DELHI CANTT CHARGE 3,28.59837,77.15816,15,1.78,2597,3.02,82.28,398.0,24.0,61.0
NDMC_1,NDMC CHARGE 1,28.62494,77.227,16,3.05,4712609,0.73,177.0,846.9,51.0,65.0
NDMC_2,NDMC CHARGE 2,28.63745,77.21491,16,4.83,8118,0.95,177.0,846.9,51.0,65.0
NDMC_3,NDMC CHARGE 3,28.62215,77.19261,16,5.24,6254594,0.18,177.0,846.9,51.0,65.0
NDMC_4,NDMC CHARGE 4,28.61847,77.21344,16,3.31,6254594,1.89,177.0,846.9,51.0,65.0
NDMC_5,NDMC CHARGE 5,28.60462,77.2163,16,2.37,5634,1.78,177.0,846.9,51.0,65.0
NDMC_7,NDMC CHARGE 7,28.56934,77.20553,16,4.79,6145551,1.76,177.0,846.9,51.0,65.0
NDMC_8,NDMC CHARGE 8,28.57658,77.19638,16,4.99,3409496,1.22,177.0,846.9,51.0,65.0
NDMC_9,NDMC CHARGE 9,28.58965,77.19246,16,4.78,2597,1.0,177.0,846.9,51.0,65.0
NDMC_6,NDMC CHARGE 6,28.58249,77.21936,16,2.8,11607,0.69,177.0,846.9,51.0,65.0
80,CHANDNI CHOWK,28.657,77.23183,22,4.85,11603,0.45,115.08,719.0,25.0,36.0
81,MINTO ROAD,28.63899,77.23029,16,4.44,8118,0.67,177.0,846.9,51.0,65.0
82,KUCHA PANDIT,28.64761,77.22654,16,5.45,11603,1.02,177.0,846.9,51.0,65.0
83,BAZAR SITARAM,28.64577,77.23142,16,5.16,11603,1.29,177.0,846.9,51.0,65.0
85,IDGAH ROAD,28.65341,77.21847,22,5.59,11603,0.93,115.08,719.0,25.0,36.0
108,KHYALA,28.65219,77.10241,21,6.46,5540,3.17,135.07,435.8,59.0,163.0
109,JANAK PURI NORTH,28.62805,77.09799,15,5.15,5581,1.98,82.28,398.0,24.0,61.0
11,MUKHERJEE NAGAR,28.71348,77.21632,22,2.75,5541,2.0,115.08,719.0,25.0,36.0
117,JANAK PURI WEST,28.62287,77.08163,14,4.79,5581,2.25,124.23,323.1,16.0,115.0
118,JANAK PURI SOUTH,28.61584,77.0979,15,4.47,5581,0.64,82.28,398.0,24.0,61.0
119,MILAP NAGAR,28.61787,77.0657,14,3.2,5622,3.38,124.23,323.1,16.0,115.0
120,SITA PURI,28.61008,77.07747,14,3.83,5581,2.17,124.23,323.1,16.0,115.0
133,CHHAWLA,28.54488,76.9472,7,5.04,10488,3.1,12.27,12.3,3.0,0.0
134,NANGLI SAKRAVATI,28.58231,76.99289,14,5.0,5622,4.88,124.23,323.1,16.0,115.0
135,KAKRAULA,28.59893,77.02498,14,1.47,5622,1.35,124.23,323.1,16.0,115.0
140,KHERA,28.58304,76.91128,13,3.38,6254664,1.23,69.92,258.7,7.0,9.0
241,DILSHAD GARDEN,28.68469,77.30989,23,3.39,431,0.56,66.54,310.9,36.0,36.0
242,NEW SEEMA PURI,28.68861,77.32375,23,2.03,431,1.97,66.54,310.9,36.0,36.0
243,NAND NAGRI,28.69459,77.30684,23,3.29,431,1.4,66.54,310.9,36.0,36.0
244,SUNDER NAGARI,28.6948,77.31885,23,2.14,431,1.95,66.54,310.9,36.0,36.0
245,DURGA PURI,28.68984,77.2983,23,4.22,6359,1.05,66.54,310.9,36.0,36.0
246,ASHOK NAGAR,28.69326,77.29647,23,4.31,6359,1.47,66.54,310.9,36.0,36.0
247,RAM NAGAR,28.67797,77.28865,22,5.34,5759,0.98,115.08,719.0,25.0,36.0
248,WELCOME COLONY,28.67834,77.28245,22,4.79,5759,1.58,115.08,719.0,25.0,36.0
249,CHAUHAN BANGER,28.68391,77.27107,22,3.52,5759,2.77,115.08,719.0,25.0,36.0
250,ZAFFRABAD,28.67408,77.26682,22,3.89,7434,2.77,115.08,719.0,25.0,36.0
252,MAUJPUR,28.68957,77.27323,22,3.44,5759,2.8,115.08,719.0,25.0,36.0
255,GHONDA,28.69049,77.26446,22,2.61,8475,2.66,115.08,719.0,25.0,36.0
256,YAMUNA VIHAR,28.69882,77.26785,22,2.72,8475,2.21,115.08,719.0,25.0,36.0
257,SUBHASH MOHALLA,28.69524,77.27314,22,3.28,8475,2.86,115.08,719.0,25.0,36.0
258,KARDAM PURI,28.69484,77.28322,22,4.25,5759,2.41,115.08,719.0,25.0,36.0
259,JANTA COLONY,28.68334,77.28026,22,4.34,5759,1.89,115.08,719.0,25.0,36.0
260,BABAR PUR,28.68542,77.28571,22,4.74,5759,1.51,115.08,719.0,25.0,36.0
261,JIWANPUR,28.71588,77.28532,22,4.76,6299678,2.83,115.08,719.0,25.0,36.0
262,GOKALPUR,28.70796,77.28927,22,4.89,6359,3.25,115.08,719.0,25.0,36.0
263,SABOLI,28.70739,77.30598,23,3.42,431,2.81,66.54,310.9,36.0,36.0
264,HARSH VIHAR,28.70564,77.31894,23,2.15,431,2.95,66.54,310.9,36.0,36.0
265,SHIV VIHAR,28.7265,77.28183,22,5.03,6299678,1.62,115.08,719.0,25.0,36.0
266,KARAWAL NAGAR EAST,28.71832,77.27209,22,3.73,6299678,2.32,115.08,719.0,25.0,36.0
268,MUSTAFABAD,28.71,77.26903,22,3.04,8475,1.91,115.08,719.0,25.0,36.0
269,KHAJOORI KHAS,28.7091,77.25883,22,2.1,8475,0.93,115.08,719.0,25.0,36.0
271,KARAWAL NAGAR WEST,28.72754,77.26659,22,4.01,6299678,1.46,115.08,719.0,25.0,36.0
272,SONIA VIHAR,28.73778,77.25296,22,4.39,6299678,2.03,115.08,719.0,25.0,36.0
154,NIZAMUDDIN,28.59593,77.25407,16,1.45,6929,2.34,177.0,846.9,51.0,65.0
156,BHOGAL,28.57975,77.25364,16,2.62,8365,1.35,177.0,846.9,51.0,65.0
157,KASTURBA NAGAR,28.58131,77.23244,16,2.21,5754,0.17,177.0,846.9,51.0,65.0
160,AMAR COLONY,28.56343,77.24642,16,4.11,8365,0.64,177.0,846.9,51.0,65.0
161,MALVIYA NAGAR,28.53668,77.19929,10,5.7,6148686,0.98,49.2,144.5,18.0,50.0
162,HAUZ RANI,28.53445,77.21171,10,4.72,5586,1.82,49.2,144.5,18.0,50.0
159,ANDREWSGANJ,28.5659,77.22558,16,4.04,6145551,1.04,177.0,846.9,51.0,65.0
165,VASANT VIHAR,28.5577,77.166,15,5.35,5639,0.77,82.28,398.0,24.0,61.0
166,MUNIRKA,28.55591,77.1756,15,6.01,5639,1.28,82.28,398.0,24.0,61.0
168,NANAK PURA,28.57744,77.16728,15,3.66,5639,1.43,82.28,398.0,24.0,61.0
171,VASANTKUNJ,28.53811,77.16041,9,4.68,6254663,0.85,34.51,149.7,16.0,7.0
180,DAKSHINPURI EXT.,28.52494,77.24242,10,2.78,5765,2.68,49.2,144.5,18.0,50.0
181,KHANPUR,28.50703,77.22568,10,1.6,6254666,2.82,49.2,144.5,18.0,50.0
182,AMBEDKAR NAGAR,28.51733,77.23368,10,2.02,5744,3.62,49.2,144.5,18.0,50.0
183,MADANGIR,28.52005,77.23665,10,2.25,2860223,3.39,49.2,144.5,18.0,50.0
184,PUSHP VIHAR,28.52279,77.22508,10,2.92,5586,3.2,49.2,144.5,18.0,50.0
185,TUGHLAKABAD EXTN,28.51862,77.24962,10,2.27,8239,2.51,49.2,144.5,18.0,50.0
187,SANGAM VIHAR CENTRAL,28.49532,77.25021,10,1.13,6934,1.48,49.2,144.5,18.0,50.0
188,SANGAM VIHAR EAST,28.49944,77.25812,10,1.77,6934,0.66,49.2,144.5,18.0,50.0
189,CHIRAG DELHI,28.53408,77.23694,10,3.8,2860223,1.87,49.2,144.5,18.0,50.0
190,CHITRANJAN PARK,28.53248,77.24976,10,3.73,5765,1.7,49.2,144.5,18.0,50.0
191,SHAPUR JAT,28.54256,77.22471,10,4.96,5586,1.22,49.2,144.5,18.0,50.0
192,GREATER KAILASH-I,28.55274,77.24609,16,5.29,2860223,0.42,177.0,846.9,51.0,65.0
193,SRI NIWASPURI,28.5578,77.26974,16,5.52,5627,0.82,177.0,846.9,51.0,65.0
194,EAST OF KAILASH,28.55045,77.25814,16,5.79,2860223,1.47,177.0,846.9,51.0,65.0
195,GOVIND PURI,28.53158,77.26324,10,4.18,5765,0.64,49.2,144.5,18.0,50.0
196,KALKAJI,28.53805,77.26126,10,4.71,5765,0.53,49.2,144.5,18.0,50.0
197,TUGHLAKABAD,28.51732,77.2745,10,3.88,8239,1.53,49.2,144.5,18.0,50.0
198,PUL PEHLAD,28.49613,77.28414,10,4.34,6934,1.91,49.2,144.5,18.0,50.0
199,TEKHAND,28.51458,77.28953,10,5.1,8239,2.54,49.2,144.5,18.0,50.0
200,HARKESH NAGAR,28.54154,77.27524,10,5.76,5765,1.02,49.2,144.5,18.0,50.0
201,JAITPUR,28.50972,77.32827,11,1.58,5598,3.93,52.22,144.2,14.0,11.0
202,MEETHEYPUR,28.49841,77.32701,11,1.28,5598,5.17,52.22,144.2,14.0,11.0
203,BADAR PUR,28.49881,77.30657,11,3.27,5744,4.07,52.22,144.2,14.0,11.0
204,MOLARBAND,28.49524,77.31092,11,2.89,6934,4.52,52.22,144.2,14.0,11.0
206,OKHLA,28.5591,77.28595,16,6.39,5627,1.49,177.0,846.9,51.0,65.0
84,TURKMAN GATE,28.64373,77.23388,16,4.9,8118,1.28,177.0,846.9,51.0,65.0
86,BALLIMARAN,28.65262,77.22518,22,5.46,11603,0.5,115.08,719.0,25.0,36.0
87,RAM NAGAR,28.6493,77.21489,16,6.0,11603,1.46,177.0,846.9,51.0,65.0
