ward_id,ward_name,point_id
CANT_1,DELHI CANTT CHARGE 1,15
CANT_2,DELHI CANTT CHARGE 2,15
CANT_4,DELHI CANTT CHARGE 4,15
CANT_5,DELHI CANTT CHARGE 5,15
CANT_6,DELHI CANTT CHARGE 6,15
CANT_7,DELHI CANTT CHARGE 7,15
CANT_8,DELHI CANTT CHARGE 8,15
CANT_3,DELHI CANTT CHARGE 3,15
NDMC_1,NDMC CHARGE 1,16
NDMC_2,NDMC CHARGE 2,16
NDMC_3,NDMC CHARGE 3,16
NDMC_4,NDMC CHARGE 4,16
NDMC_5,NDMC CHARGE 5,16
NDMC_7,NDMC CHARGE 7,16
NDMC_8,NDMC CHARGE 8,16
NDMC_9,NDMC CHARGE 9,16
NDMC_6,NDMC CHARGE 6,16
80,CHANDNI CHOWK,22
81,MINTO ROAD,16
82,KUCHA PANDIT,16
83,BAZAR SITARAM,16
85,IDGAH ROAD,22
108,KHYALA,21
109,JANAK PURI NORTH,15
11,MUKHERJEE NAGAR,22
117,JANAK PURI WEST,14
118,JANAK PURI SOUTH,15
119,MILAP NAGAR,14
120,SITA PURI,14
133,CHHAWLA,7
134,NANGLI SAKRAVATI,14
135,KAKRAULA,14
140,KHERA,13
241,DILSHAD GARDEN,23
242,NEW SEEMA PURI,23
243,NAND NAGRI,23
244,SUNDER NAGARI,23
245,DURGA PURI,23
246,ASHOK NAGAR,23
247,RAM NAGAR,22
248,WELCOME COLONY,22
249,CHAUHAN BANGER,22
250,ZAFFRABAD,22
252,MAUJPUR,22
255,GHONDA,22
256,YAMUNA VIHAR,22
257,SUBHASH MOHALLA,22
258,KARDAM PURI,22
259,JANTA COLONY,22
260,BABAR PUR,22
261,JIWANPUR,22
262,GOKALPUR,22
263,SABOLI,23
264,HARSH VIHAR,23
265,SHIV VIHAR,22
266,KARAWAL NAGAR EAST,22
268,MUSTAFABAD,22
269,KHAJOORI KHAS,22
271,KARAWAL NAGAR WEST,22
272,SONIA VIHAR,22
154,NIZAMUDDIN,16
156,BHOGAL,16
157,KASTURBA NAGAR,16
160,AMAR COLONY,16
161,MALVIYA NAGAR,10
162,HAUZ RANI,10
159,ANDREWSGANJ,16
165,VASANT VIHAR,15
166,MUNIRKA,15
168,NANAK PURA,15
171,VASANTKUNJ,9
180,DAKSHINPURI EXT.,10
181,KHANPUR,10
182,AMBEDKAR NAGAR,10
183,MADANGIR,10
184,PUSHP VIHAR,10
185,TUGHLAKABAD EXTN,10
187,SANGAM VIHAR CENTRAL,10
188,SANGAM VIHAR EAST,10
189,CHIRAG DELHI,10
190,CHITRANJAN PARK,10
191,SHAPUR JAT,10
192,GREATER KAILASH-I,16
193,SRI NIWASPURI,16
194,EAST OF KAILASH,16
195,GOVIND PURI,10
196,KALKAJI,10
197,TUGHLAKABAD,10
198,PUL PEHLAD,10
199,TEKHAND,10
200,HARKESH NAGAR,10
201,JAITPUR,11
202,MEETHEYPUR,11
203,BADAR PUR,11
204,MOLARBAND,11
206,OKHLA,16
84,TURKMAN GATE,16
86,BALLIMARAN,22
87,RAM NAGAR,16
88,QASABPURA,22
89,PAHAR GANJ,16
146,SADH NAGAR,15
150,PUSA,15
151,INDER PURI,15
152,NARAINA,15
173,DEOLI,10
174,CHHATARPUR,9
175,AYA NAGAR,9
176,BHATI,10
207,MADANPUR KHADAR,11
208,SARITA VIHAR,11
231,GHONDLI,22
232,ANARKALI,22
234,GANDHI NAGAR,22
235,AZAD NAGAR,22
236,RAGHUBAR PURA,22
237,SHAHDARA,22
238,JHILMIL,23
239,VIVEK VIHAR,23
240,DILSHAD COLONY,23
103,PUNJABI BAGH,21
96,NEW RANJIT NAGAR,15
97,KIRTI NAGAR,21
98,MANSAROWER GARDEN,15
122,HASTSAL,14
71,SANGAM PARK,21
72,MODEL TOWN,21
69,KAMLA NAGAR,22
74,INDER LOK COLONY,21
75,KISHAN GANJ,22
76,DEPUTY GANJ,22
77,KASHMERE GATE,22
78,MAJNU KA TILA,22
79,JAMA MASJID,22
114,TILAK NAGAR,15
115,MAJOR BHUPINDAR SINGH NAGAR,21
116,VIKASPURI EAST,14
125,MOHAN GARDEN,14
126,NAWADA,14
127,UTTAM NAGAR,14
128,BINDAPUR,14
129,DABRI,15
136,MATIALA,14
137,ROSHANPURA,14
209,MAYUR VIHAR PHASE-I,17
21,ROHINI,21
210,DALLOPURA,17
211,TRILOK PURI,16
212,NEW ASHOK NAGAR,17
213,KALYAN PURI,17
214,KHICHRIPUR,17
215,KONDLI,17
216,GHAROLI,17
217,VINOD NAGAR,17
68,ASHOK VIHAR,21
67,WAJIRPUR,21
66,SAWAN PARK,21
65,NIMRI COLONY,21
64,SHAKUR PUR,21
63,KOHAT ENCLAVE,21
62,RAMPURA,21
61,TRI NAGAR,21
60,SARASWATI VIHAR,21
59,RANI BAGH,21
58,PASCHIM VIHAR NORTH,21
57,PASCHIM VIHAR SOUTH,21
56,SHALIMAR BAGH SOUTH,21
55,SHALIMAR BAGH NORTH,21
54,PITAMPUR NORTH,21
53,PITAMPURA SOUTH,21
52,NAHARPUR,21
51,ROHINI EAST,21
50,ROHINI CENTRAL,21
48,MANGOLPURI  WEST,20
46,MANGOLPURI  EAST,21
45,ROHINI SOUTH,21
44,QUAMMRUDDIN NAGAR,20
43,NANGLOI EAST,20
42,PERAGHARHI,20
41,GURU HARKISHAN NAGAR,20
40,SULTANPURI  SOUTH,20
37,SULTANPURI  EAST,20
35,KIRARI SULEMAN NAGAR,20
29,KARALA,20
27,BEGUMPUR,26
25,POOTH KALAN,20
24,VIJAY VIHAR,21
230,GEETA COLONY,16
229,KRISHNA  NAGAR,22
228,PREET VIHAR,17
227,I.P EXTENTION,17
225,ANAND VIHAR,23
,,16
223,SHAKARPUR,16
222,LAXMI NAGAR,16
22,RITHALA,21
219,MAYUR VIHAR PHASE II,17
218,MANDAWALI,17
100,KARAM PURA,21
147,MAHAVIR ENCLAVE,14
131,SAGARPUR,15
132,SAGARPUR WEST,15
30,MUNDAKA,20
95,EAST PATEL NAGAR,21
94,WEST PATEL NAGAR,21
92,DEV NAGAR,21
91,KAROL BAGH,21
90,MODEL BASTI,22
70,RANA PRATAP BAGH,22
4,BAKHTAWAR PUR,27
3,ALIPUR,27
26,SAHIBABAD DAULAT PUR,21
2,BANKNER,32
9,MALKAGANJ,22
8,JHARODA,22
6,MUKUND PUR,27
28,BAWANA,26
19,BHALSWA,21
17,SAMAYPUR BADLI,21
16,JAHANGIRPURI-I,21
15,SARAI PIPAL THALA,21
144,MAHIPALPUR,9
143,KAPASHERA,8
141,BIJWASAN,8
14,ADARASH  NAGAR,21
13,DHIR PUR,21
12,G.T.B. NAGAR,22
10,TIMAR PUR,22
101,RAJA GARDEN,21
102,RAGHUBIR NAGAR,21
105,RAJOURI GARDEN,15
110,NANGAL RAYA,15
111,HARI NAGAR,15
112,SUBHASH NAGAR,15
148,MADHU VIHAR,14
23,BUDH VIHAR,20
31,NANGLOI JAT WEST,20
34,NITHARI,20
39,SULTANPUR MAJRA,20
49,ROHINI NORTH,21
18,LIBAS PUR,27
254,BRAHAM PURI,22
139,DICHAON KALAN,13
99,MOTI NAGAR,21
47,MANGOLPURI,21
155,LAJPAT NAGAR,16
145,PALAM,14
172,KISHANGARH,9
226,VISHWASH NAGAR,23
104,MADIPUR,21
149,RAJENDER NAGAR,15
167,R. K. PURAM,15
163,SAFDARJANG ENCLAVE,16
164,HAUZ KHAS,16
158,KOTLA MUBARAKPUR,16
130,MANGLAPURI,14
38,MANGOL PURI  NORTH,20
106,TAGORE GARDEN,15
169,LADOSARAI,9
1,NARELA,33
5,BHALASWA JAHAGIR PUR,27
7,BURARI,28
220,PATPARGANJ,17
224,PANDAV NAGAR,16
221,KISHAN KUNJ,16
233,DHARAMPURA,22
251,NEW USMANPUR,22
